Time,AltitudeMeters,LatitudeDegrees,LongitudeDegrees,HeartRateBpm,SecondsFromStart,DistanceTraveled
2020-05-07T10:18:05Z,49,59.2171368,24.4689158,,0.0,0
2020-05-07T10:18:41Z,48,59.2168404,24.4687788,,36.0,111.14983717662959
2020-05-07T10:19:11Z,47,59.2119883,24.4646009,,66.0,2046.1414672529081
2020-05-07T10:19:42Z,49,59.2061624,24.4647517,,97.0,4172.358648679955
2020-05-07T10:20:13Z,51,59.201237,24.4677785,,128.0,6056.638387954719
2020-05-07T10:20:43Z,41,59.1991526,24.4691646,,158.0,6860.179384929914
2020-05-07T10:21:55Z,47,59.198883,24.4693908,,230.0,6967.25956725163
2020-05-07T10:22:26Z,49,59.1967681,24.4614386,,261.0,8641.75614607018
2020-05-07T10:22:57Z,46,59.1934951,24.4512167,,292.0,10894.739644210225
2020-05-07T10:23:28Z,45,59.1918105,24.4427012,,323.0,12600.878939485798
2020-05-07T10:23:58Z,45,59.1919296,24.4393385,,353.0,13230.878506627541
2020-05-07T10:24:35Z,50,59.1916476,24.4393691,,390.0,13333.946864811645
2020-05-07T10:25:31Z,56,59.1913778,24.4393845,,446.0,13432.446382206997
2020-05-07T10:26:01Z,57,59.1910745,24.4397149,,476.0,13559.190711734773
2020-05-07T10:27:09Z,54,59.1913118,24.4394136,,544.0,13662.488621112316
2020-05-07T10:27:39Z,53,59.1917208,24.4393525,,574.0,13812.18015148454
2020-05-07T10:29:53Z,52,59.1915744,24.43988,,708.0,13924.316862733627
2020-05-07T10:30:24Z,47,59.1908858,24.4422128,,739.0,14427.561824659531
2020-05-07T10:30:55Z,44,59.1905202,24.4447871,,770.0,14926.877237153702
2020-05-07T10:31:26Z,48,59.1896619,24.4453644,,801.0,15258.16034692059
2020-05-07T10:31:56Z,52,59.1883997,24.4441694,,831.0,15770.074339260826
2020-05-07T10:32:26Z,49,59.1871748,24.4435506,,861.0,16231.797231647917
2020-05-07T10:32:57Z,54,59.1857945,24.4412335,,892.0,16896.127143009766
2020-05-07T10:33:28Z,54,59.1846678,24.4399602,,923.0,17371.220551271876
2020-05-07T10:33:59Z,62,59.1833221,24.4378387,,954.0,18002.45635593781
2020-05-07T10:34:30Z,60,59.1818941,24.4338112,,985.0,18918.155279962513
2020-05-07T10:35:01Z,62,59.1813983,24.4328492,,1016.0,19173.270462495828
2020-05-07T10:35:32Z,60,59.1803402,24.4329087,,1047.0,19559.560547833564
2020-05-07T10:39:07Z,58,59.180298,24.4335409,,1262.0,19678.75945959636
2020-05-07T10:39:38Z,55,59.1794412,24.4398763,,1293.0,20903.85212086956
2020-05-07T10:40:08Z,59,59.1771267,24.4467367,,1323.0,22439.69371264126
2020-05-07T10:40:39Z,55,59.1742244,24.4483768,,1354.0,23542.33118762853
2020-05-07T10:41:10Z,57,59.1739905,24.4517781,,1385.0,24184.076501228214
2020-05-07T10:41:41Z,56,59.1737824,24.4577,,1416.0,25294.080435543478
2020-05-07T10:42:11Z,56,59.169958,24.4661951,,1446.0,27408.722221186876
2020-05-07T10:42:42Z,55,59.166343,24.4742819,,1477.0,29415.701472581837
2020-05-07T10:43:12Z,50,59.1614502,24.4730012,,1507.0,31217.217631831078
2020-05-07T10:43:42Z,54,59.1558907,24.4715461,,1537.0,33264.21375768101
2020-05-07T10:44:13Z,60,59.1531666,24.4728406,,1568.0,34287.39414916205
2020-05-07T10:44:43Z,55,59.1524032,24.4758859,,1598.0,34921.675037228095
2020-05-07T10:45:14Z,58,59.1522978,24.4763922,,1629.0,35023.923567194564
2020-05-07T10:47:03Z,59,59.1523182,24.4770501,,1738.0,35147.254281630914
2020-05-07T10:47:34Z,59,59.1538959,24.4857758,,1769.0,36878.502965039144
2020-05-07T10:48:05Z,62,59.1549087,24.4937368,,1800.0,38413.237246987075
2020-05-07T10:48:36Z,61,59.1561545,24.4923066,,1831.0,38940.770558223616
2020-05-07T10:49:17Z,64,59.1563776,24.491971,,1872.0,39043.58619580788
2020-05-07T10:49:48Z,62,59.1571965,24.4926524,,1903.0,39368.48243505316
2020-05-07T10:50:22Z,69,59.1568807,24.4924821,,1937.0,39488.04969102898
2020-05-07T10:50:53Z,61,59.1561656,24.4922386,,1968.0,39752.95614479735
2020-05-07T10:52:43Z,62,59.1563536,24.4926536,,2078.0,39856.56885667867
2020-05-07T10:53:14Z,72,59.1566518,24.4928142,,2109.0,39969.462204791766
2020-05-07T10:54:03Z,66,59.1563731,24.4926976,,2158.0,40073.48072922675
2020-05-07T10:54:35Z,67,59.1561647,24.4923617,,2190.0,40172.13829538091
2020-05-07T10:55:43Z,64,59.155831,24.4924766,,2258.0,40295.797577886005
2020-05-07T10:56:13Z,62,59.1546648,24.4960387,,2288.0,41086.56498521887
2020-05-07T10:56:44Z,58,59.1543015,24.5022854,,2319.0,42262.86413006321
2020-05-07T10:57:14Z,73,59.1541225,24.5033003,,2349.0,42463.68198815053
2020-05-07T10:57:44Z,75,59.1564647,24.5041462,,2379.0,43332.94487332553
2020-05-07T10:58:15Z,72,59.1565342,24.5051622,,2410.0,43524.719387532554
2020-05-07T10:58:45Z,72,59.1531294,24.5057841,,2440.0,44772.66098105801
2020-05-07T10:59:16Z,73,59.1491207,24.5054146,,2471.0,46237.17857285522
2020-05-07T10:59:47Z,67,59.14391,24.5053531,,2502.0,48138.7406431768
2020-05-07T11:00:17Z,66,59.138848,24.5019249,,2532.0,50094.28185837412
2020-05-07T11:00:47Z,70,59.1353594,24.4996463,,2562.0,51436.92861828749
2020-05-07T11:01:23Z,74,59.1351451,24.4993201,,2598.0,51536.151803713634
2020-05-07T11:01:54Z,78,59.1328942,24.4980788,,2629.0,52389.8088738192
2020-05-07T11:04:10Z,72,59.1331065,24.4984527,,2765.0,52494.22512622222
2020-05-07T11:04:41Z,64,59.1382046,24.5015558,,2796.0,54443.25208502858
2020-05-07T11:05:12Z,68,59.14475,24.5056174,,2827.0,56949.91550517047
2020-05-07T11:05:42Z,54,59.1512419,24.5053156,,2857.0,59319.66083643074
2020-05-07T11:06:12Z,68,59.1545726,24.5070434,,2887.0,60577.3866414639
2020-05-07T11:06:42Z,61,59.1582147,24.5048813,,2917.0,61966.68529960047
2020-05-07T11:07:13Z,61,59.1585619,24.5048693,,2948.0,62093.40779920713
2020-05-07T11:07:46Z,60,59.1588519,24.5048501,,2981.0,62199.29787356908
2020-05-07T11:08:16Z,55,59.1612557,24.5045815,,3011.0,63077.9483163987
2020-05-07T11:08:46Z,57,59.1671163,24.5036476,,3041.0,65223.764410754324
2020-05-07T11:09:17Z,63,59.1739024,24.5025066,,3072.0,67709.37493798493
2020-05-07T11:09:47Z,51,59.1804725,24.5013418,,3102.0,70116.85648393276
2020-05-07T11:10:18Z,53,59.182055,24.5013583,,3133.0,70694.36226098446
2020-05-07T11:10:52Z,51,59.1817457,24.5014573,,3167.0,70808.74198856363
2020-05-07T11:11:22Z,57,59.1789459,24.5018678,,3197.0,71833.34430905645
2020-05-07T11:11:53Z,52,59.176877,24.5022942,,3228.0,72592.54051916036
2020-05-07T11:12:23Z,64,59.1774661,24.5020209,,3258.0,72813.50936902229
2020-05-07T11:12:54Z,65,59.1758757,24.5021886,,3289.0,73394.73643747147
2020-05-07T11:13:24Z,63,59.1746868,24.5043123,,3319.0,73982.90259694049
2020-05-07T11:13:55Z,55,59.1771251,24.5102055,,3350.0,75399.26718210532
2020-05-07T11:14:50Z,61,59.1773161,24.5106009,,3405.0,75500.8757239266
2020-05-07T11:15:21Z,62,59.1785774,24.514832,,3436.0,76416.15857123215
2020-05-07T11:15:51Z,67,59.1794007,24.5200073,,3466.0,77429.3717404191
2020-05-07T11:16:22Z,71,59.1814663,24.5253187,,3497.0,78676.10787787773
2020-05-07T11:16:53Z,64,59.1818093,24.5319016,,3528.0,79913.18852595496
2020-05-07T11:17:23Z,65,59.1832268,24.5351291,,3558.0,80707.96401210556
2020-05-07T11:17:53Z,58,59.184005,24.5381271,,3588.0,81336.27563654291
